regime,j,t_incr,t_raw,n_months
iid,0,-0.02771557562583905,0.1388027817133894,168
iid,1,0.8765719471564374,1.3724241632115983,168
iid,2,-1.027295875090711,-0.8742294629051128,168
iid,3,1.6624468075661858,1.8020126515236055,168
iid,4,0.23850759576813374,-0.09928495599376366,168
iid,5,1.319544913305464,0.9376418874354621,168
iid,6,0.21002644815874347,0.1432567203567856,168
iid,7,-1.7615704642882632,-1.823124394761449,168
iid,8,0.026451165954819153,-0.3805136833620439,168
iid,9,-0.495710906362739,-0.9028800777487281,168
iid,10,1.0301012868433577,0.9623788896231553,168
iid,11,0.22881431203883812,0.5252994658262674,168
iid,12,0.6611842800731111,0.15228717446501663,168
iid,13,0.3264966165455239,0.40618507214546634,168
iid,14,0.7159649974865977,0.7981099461277001,168
iid,15,2.424185159699516,1.6146865706471236,168
iid,16,-1.412132267945336,-1.3583087825288969,168
iid,17,0.8071632015385625,0.8590996875429587,168
iid,18,0.749767339159448,0.4432652974348763,168
iid,19,0.40689544904931,-0.17662255080612072,168
iid,20,0.3937004259618252,0.8339951361020755,168
iid,21,0.8462570845894793,0.5804996179023583,168
iid,22,-0.783259718897719,-0.6932748526587794,168
iid,23,0.2697637502457455,0.168223848447213,168
iid,24,1.3681330334830424,1.317909541208823,168
iid,25,-0.2096656962578136,0.6407754082753978,168
iid,26,-0.5692010920532599,-0.5596270836002742,168
iid,27,1.1278191297010438,0.9391549019789721,168
iid,28,-0.35264651739329883,-0.0487529651417568,168
iid,29,0.5080881417349391,-0.07589866368467901,168
iid,30,-1.3007245689360667,-1.0115180529583625,168
iid,31,1.13906626668189,1.2262088995729772,168
iid,32,-0.18355235323667157,0.008088494958325683,168
iid,33,-1.102196306636146,-0.6595423447459571,168
iid,34,0.8352051361554326,1.0767366920601422,168
iid,35,0.8820740585548777,0.5413378515316705,168
iid,36,-0.8522636086754339,-0.9414465606273988,168
iid,37,-1.4614302701843251,-1.0171046992801034,168
iid,38,-1.888961338543822,-1.9195737075383175,168
iid,39,-0.682231225968618,-0.5883396630245064,168
iid,40,0.0005425655105994568,0.3656803000401701,168
iid,41,-0.37891966169004504,-0.6333059610605131,168
iid,42,0.23728960385674383,0.15820504943553157,168
iid,43,0.00027644335819523565,0.19516072049715727,168
iid,44,0.773761038203974,0.9614662612270757,168
iid,45,0.09987968681596264,0.2834525092016231,168
iid,46,-0.4416622317836144,0.021952647152023688,168
iid,47,-0.0926328787760948,-0.48161889647512757,168
iid,48,-0.9352837444545051,-1.0788185128736654,168
iid,49,1.2467342885345714,2.101060156997162,168
iid,50,-0.020043096484289803,-0.1790077925461017,168
iid,51,1.8199505210398317,1.8818833552222658,168
iid,52,0.4897061788287779,0.14730087890409224,168
iid,53,-2.0245390118949347,-1.7017366397608638,168
iid,54,0.4130837838935717,-0.2762898719382413,168
iid,55,0.033052813942704096,-0.10130219678180638,168
iid,56,-1.0441386080252264,-0.7250072878769805,168
iid,57,1.1678656267647995,1.2101020396249582,168
iid,58,-1.2055923470535894,-0.8671647153119989,168
iid,59,-1.4698927783178235,-1.9396429760330314,168
iid,60,-0.6176908119636992,-0.9930189176156324,168
iid,61,0.9601407872123916,0.5172169222832622,168
iid,62,1.2333725256102208,1.4908514801995427,168
iid,63,1.1831554641289692,0.5585728316803713,168
iid,64,2.436623519054669,2.539003413860806,168
iid,65,0.2616495525346759,-0.08683307628687757,168
iid,66,0.487975535108894,0.5353667140774071,168
iid,67,0.4985402162410657,0.8525626725466128,168
iid,68,-0.45437879333811243,-0.5935485039709895,168
iid,69,1.2357704287551188,1.400526647628021,168
iid,70,-1.0418053689625602,-1.2409776352514077,168
iid,71,0.8442719120671887,0.9788856928020224,168
iid,72,1.1427588265008914,1.4803174861794948,168
iid,73,-1.1138344640907187,-0.7524265825188926,168
iid,74,0.3866301211775055,0.6076321384566032,168
iid,75,-0.1705408849352764,0.03992642025545092,168
iid,76,-2.1165921768578375,-1.8105440566140156,168
iid,77,0.2709019880439272,0.25358100528220606,168
iid,78,-1.105486934074151,-0.7178220852500635,168
iid,79,-0.8268386217314564,-0.9654359998938405,168
iid,80,0.4181495401028099,0.9438349827046035,168
iid,81,-0.5325410285838684,-0.6127037449716559,168
iid,82,-2.115443238979759,-1.8148645252221878,168
iid,83,0.35751747163222103,0.4741654095710857,168
iid,84,-0.6814135458659192,-0.796774634393534,168
iid,85,0.7755696434224162,0.4905812067150607,168
iid,86,-0.3962612736730689,-0.20582893859105214,168
iid,87,1.3900947437600653,1.3960896518384485,168
iid,88,-0.4025301023406734,-0.466024607256367,168
iid,89,-1.1569610617104165,-1.2511832490854473,168
iid,90,-0.10777947120734974,0.1956268781839727,168
iid,91,-1.6423837414656999,-1.2270948149738927,168
iid,92,1.4852184663730499,1.6993883314709812,168
iid,93,-0.15906610613336722,0.3996361689623149,168
iid,94,2.212472928985589,2.5181348802502765,168
iid,95,-0.36642933925410526,-0.5620768228518312,168
iid,96,0.9027302003971359,1.0244010537307353,168
iid,97,0.42653882908548035,0.9314167934771029,168
iid,98,-0.03603109912210779,0.2739643918048467,168
iid,99,-1.2480227549392495,-0.9656378270482249,168
fast,0,0.31452832441014633,0.3845664625923758,168
fast,1,-1.048073233195068,-1.198313000106974,168
fast,2,-0.4591147468053496,-0.5086992209325623,168
fast,3,0.603194821968786,0.5613778217968758,168
fast,4,0.321984013114845,0.7545809300308257,168
fast,5,-1.7505790120120939,-1.7449561634565842,168
fast,6,-0.18570659722945082,-0.6228825615889858,168
fast,7,-0.723880554555134,-1.0339448765634367,168
fast,8,-1.359563747603056,-1.2474098752244889,168
fast,9,-1.2790123241357156,-1.345254491810208,168
fast,10,0.5429978132748872,-0.048223761231060966,168
fast,11,-0.3605112843054839,-0.7585273452804023,168
fast,12,1.7000932248758054,1.130581430371287,168
fast,13,-1.3157716573830343,-1.4203599767099135,168
fast,14,0.6447011619046097,0.8252403667785736,168
fast,15,-0.9519555836551508,-0.7402384380307286,168
fast,16,0.37771200080920825,0.22116634030422824,168
fast,17,-0.40005220121439133,-0.08218884369727256,168
fast,18,0.4443067352196219,0.19498267887520188,168
fast,19,1.099126524794835,1.249503099016521,168
fast,20,-0.604284782982957,-0.16410173702599967,168
fast,21,0.7507973730746116,0.4600802515884302,168
fast,22,0.41951983990260716,0.7066456627246008,168
fast,23,0.3121827734694803,0.29257389062833755,168
fast,24,0.2522236836912911,-0.39130302527944094,168
fast,25,0.9616325745218064,0.7903534289166978,168
fast,26,0.5226575758835293,1.0198642968147378,168
fast,27,0.8508922411669502,0.7273158899116237,168
fast,28,-1.5615837513535056,-1.0299614668455275,168
fast,29,-0.4787395269844129,-0.3440548810376453,168
fast,30,-0.2116786928707605,-0.011670058463412228,168
fast,31,-0.04308887904101853,0.24652921890662405,168
fast,32,-1.3283837933125335,-1.2685823963911378,168
fast,33,-0.1110322888551002,-0.17477602081146387,168
fast,34,0.5753050460807546,1.0890694737619773,168
fast,35,0.5507078534466517,0.32161858851717606,168
fast,36,-1.2922813589724012,-0.9072125758993044,168
fast,37,0.7656471784831986,0.8812102867755397,168
fast,38,-0.9813223056139923,-0.9423095287448175,168
fast,39,0.06842652963149459,0.33725927579800913,168
fast,40,1.1603408557116663,0.9631134167180565,168
fast,41,1.9470333288513895,1.766911238574332,168
fast,42,1.2841640004417187,0.8482737331875011,168
fast,43,-0.6239696809132873,-0.445277437704765,168
fast,44,0.5621948024275667,0.24375358948756237,168
fast,45,-2.4046312480633723,-2.3525400674267285,168
fast,46,-1.1131969919407332,-0.9857063469317561,168
fast,47,-0.21733422150587528,-0.4657317439678281,168
fast,48,0.6005094510774549,0.3681847676640618,168
fast,49,2.4537701318665315,3.0682761711778848,168
fast,50,-1.0732887102074646,-1.0923022387087598,168
fast,51,-1.920933022383348,-2.0543142939369634,168
fast,52,1.6774906942021734,2.184093709480933,168
fast,53,-0.1057614142439999,0.28531265260667577,168
fast,54,1.3123346847536108,1.6465699727327947,168
fast,55,-1.1839316748993183,-1.3478152471442264,168
fast,56,1.2776678377280746,1.5481508512741193,168
fast,57,1.7958153215839836,1.6049382083325427,168
fast,58,-0.17429164187167792,-0.41357689069126047,168
fast,59,-0.08036132536320378,-0.13691742536948484,168
fast,60,-0.7009550124075237,-0.9917467159221823,168
fast,61,-2.0070246642580796,-1.7847041665390158,168
fast,62,-0.687801983729263,-0.557033460750261,168
fast,63,2.0552069779223934,1.7504027121065198,168
fast,64,-0.1674281948876358,-0.17867560504013022,168
fast,65,-0.7011698624561867,-0.4397987937628134,168
